amount_minor,payment_failure_count,successful_payment_count,retry_count,customer_tenure_days,historical_recovery_count,historical_recovery_success_count,payment_hour,payment_day_of_week,preferred_payment_method,failure_reason,ground_truth_prob,recovered
634915,0,16,2,324,3,0,23,2,wallet,timeout,0.685,1
3498848,2,10,3,331,4,0,20,2,card,user_abandoned,0.5067,1
3163267,4,10,1,137,3,0,2,0,upi,temporary_gateway_issue,0.605,0
4393486,4,15,0,346,3,1,4,2,upi,unknown,0.5013,1
3688601,3,1,0,336,3,3,10,4,upi,temporary_gateway_issue,0.7625,0
4027230,2,1,3,95,1,0,23,1,upi,temporary_gateway_issue,0.4317,0
1446071,4,7,2,326,4,1,6,3,netbanking,checkout_abandoned,0.4077,0
928325,5,12,1,245,0,0,5,3,upi,unknown,0.3521,0
3765543,1,9,0,90,0,0,13,4,upi,temporary_gateway_issue,0.95,1
4043831,3,7,1,59,1,1,0,2,card,gateway_error,0.7,1
4953000,0,3,3,28,1,1,16,1,upi,card_expired,0.415,1
2092457,3,14,3,72,3,1,16,2,card,checkout_abandoned,0.3532,0
1891489,1,0,0,270,4,4,13,6,upi,timeout,0.675,1
3893244,2,10,3,24,4,2,9,0,upi,timeout,0.6067,0
1736977,0,6,2,112,2,1,7,2,upi,card_expired,0.535,0
4657248,0,16,3,300,2,2,7,0,wallet,gateway_error,0.565,1
4299143,2,19,3,56,0,0,13,3,upi,unknown,0.3817,1
2173520,3,17,3,223,2,0,6,1,upi,temporary_gateway_issue,0.6125,0
3766811,4,11,1,120,2,1,5,5,upi,timeout,0.6117,1
3784987,3,8,1,179,0,0,3,6,card,insufficient_funds,0.1095,0
560463,1,4,0,288,0,0,0,0,netbanking,insufficient_funds,0.455,1
4517636,5,9,0,281,2,2,14,2,upi,card_expired,0.65,1
2550999,4,3,0,189,4,2,14,6,upi,unknown,0.575,1
4140964,3,4,3,66,2,0,0,2,wallet,timeout,0.415,1
1634245,5,9,1,298,3,1,19,6,card,card_expired,0.58,1
4482839,5,10,2,249,3,3,2,3,card,gateway_error,0.3683,1
1976548,2,9,3,76,3,3,22,4,upi,user_abandoned,0.4514,1
103646,1,7,3,137,1,0,4,6,upi,temporary_gateway_issue,0.4212,0
4531640,1,1,3,164,3,0,4,5,card,gateway_error,0.19,0
501869,1,7,2,233,4,0,3,4,card,gateway_error,0.4412,1
1630602,4,15,0,255,1,1,16,2,card,timeout,0.8513,1
4752806,0,4,2,294,1,0,20,4,upi,unknown,0.685,1
4755505,4,2,0,170,3,2,19,6,card,timeout,0.8417,1
2888517,3,11,2,317,2,0,13,5,netbanking,temporary_gateway_issue,0.61,1
3177594,5,12,1,174,0,0,7,5,wallet,gateway_error,0.7021,1
2269805,5,12,3,345,2,1,1,1,upi,insufficient_funds,0.05,0
1501393,0,9,3,18,2,0,7,4,card,gateway_error,0.565,1
1676889,3,3,3,70,1,1,0,1,card,temporary_gateway_issue,0.39,1
3378966,0,8,0,338,1,1,3,2,netbanking,timeout,0.725,1
3774253,5,1,2,116,1,0,18,2,netbanking,unknown,0.2933,0
3968316,4,18,1,80,4,0,4,2,wallet,insufficient_funds,0.1414,0
3958609,1,0,2,15,4,4,4,3,wallet,gateway_error,0.135,0
501470,5,6,3,176,0,0,20,4,upi,user_abandoned,0.5059,0
2497380,2,16,1,269,1,1,19,0,card,card_expired,0.6661,1
334915,1,2,1,119,3,3,23,5,card,user_abandoned,0.5383,0
2770167,5,19,3,299,1,1,18,0,upi,gateway_error,0.7421,1
2235575,4,19,2,188,4,3,11,2,upi,insufficient_funds,0.3241,0
4444135,0,2,3,57,1,1,19,6,upi,unknown,0.565,1
1787029,1,2,2,199,4,3,0,6,netbanking,gateway_error,0.5683,1
629481,4,16,1,17,1,1,6,4,upi,timeout,0.835,1
757808,3,6,1,288,3,1,16,6,netbanking,gateway_error,0.6883,0
3819477,2,13,3,55,0,0,1,1,card,insufficient_funds,0.05,0
3110179,1,16,1,269,3,3,10,0,card,user_abandoned,0.6344,0
550557,0,17,0,303,4,1,6,6,upi,insufficient_funds,0.625,0
466328,3,12,1,87,2,0,16,2,upi,user_abandoned,0.685,1
3519797,4,19,0,318,3,2,2,0,upi,insufficient_funds,0.3641,0
410176,2,19,1,29,1,0,21,0,upi,unknown,0.7717,1
4118207,0,17,3,22,0,0,5,5,netbanking,insufficient_funds,0.05,0
3545899,4,3,3,321,1,1,21,0,card,gateway_error,0.515,0
452676,4,0,0,285,1,0,10,2,upi,insufficient_funds,0.275,0
469946,1,17,3,48,3,3,17,5,netbanking,card_expired,0.2956,0
4933865,1,0,1,5,0,0,17,2,upi,user_abandoned,0.405,0
1902640,0,12,1,250,2,0,21,3,upi,insufficient_funds,0.655,1
1884678,5,19,3,163,1,1,9,6,card,insufficient_funds,0.0921,1
4073357,5,19,1,202,0,0,4,3,upi,user_abandoned,0.4821,0
4738880,4,9,2,101,2,0,22,6,card,user_abandoned,0.4273,0
4930705,1,10,2,71,1,1,22,3,card,timeout,0.6532,1
3779222,2,8,1,163,0,0,20,0,card,user_abandoned,0.735,1
1912484,2,8,3,173,3,1,23,4,upi,insufficient_funds,0.195,0
463328,4,4,0,141,1,0,21,2,upi,gateway_error,0.95,1
3896877,1,0,3,138,1,0,14,3,upi,gateway_error,0.315,1
2814101,0,16,0,66,0,0,20,4,wallet,unknown,0.825,1
2149898,0,1,3,198,1,0,19,3,upi,gateway_error,0.815,0
4536454,0,12,1,328,2,2,22,6,upi,insufficient_funds,0.505,0
600427,2,8,2,228,1,0,3,3,netbanking,checkout_abandoned,0.265,0
2488494,1,3,3,281,4,1,20,4,netbanking,gateway_error,0.6275,1
106200,1,4,0,172,2,1,20,3,netbanking,user_abandoned,0.855,1
2369870,2,10,2,316,0,0,0,0,wallet,user_abandoned,0.4767,1
328701,0,18,0,40,2,2,14,0,upi,unknown,0.775,0
638148,0,2,1,7,4,1,16,5,upi,temporary_gateway_issue,0.905,1
631754,4,11,2,174,4,3,18,0,upi,temporary_gateway_issue,0.8417,1
3263590,5,18,0,151,1,0,13,1,upi,checkout_abandoned,0.7989,0
3742922,3,18,3,211,1,1,18,5,card,gateway_error,0.665,1
2937675,5,12,1,302,3,0,17,3,upi,insufficient_funds,0.4021,0
4812754,1,6,1,86,2,0,1,1,card,card_expired,0.305,0
1905609,1,14,1,253,3,2,5,2,upi,temporary_gateway_issue,0.6817,1
1464274,1,6,3,21,4,3,12,4,upi,checkout_abandoned,0.465,1
4349565,5,7,3,257,1,0,16,2,card,timeout,0.4192,0
1156799,3,4,2,33,1,1,5,1,upi,gateway_error,0.435,0
4817951,4,13,3,260,1,1,20,0,card,gateway_error,0.6326,1
110164,5,3,2,234,0,0,21,6,unknown,gateway_error,0.6163,1
4850900,3,9,1,3,4,4,4,3,netbanking,gateway_error,0.5175,0
263641,0,19,2,347,1,0,6,5,upi,card_expired,0.535,1
4461158,0,14,0,308,4,3,0,6,wallet,gateway_error,0.925,1
2662120,1,17,1,227,1,1,12,6,upi,temporary_gateway_issue,0.8856,1
4965175,2,19,1,284,2,0,18,3,card,checkout_abandoned,0.7717,0
415292,1,12,2,70,4,3,21,0,upi,insufficient_funds,0.5081,0
2791578,2,7,1,313,3,0,0,3,upi,temporary_gateway_issue,0.8272,1
4848047,3,8,3,364,0,0,12,4,unknown,unknown,0.2195,0
2639334,0,15,0,254,3,2,10,6,upi,gateway_error,0.95,1
3165523,5,18,2,144,4,3,6,4,netbanking,checkout_abandoned,0.4589,1
3493956,2,15,2,24,1,1,19,4,upi,card_expired,0.6438,1
2299978,3,6,1,234,4,4,2,2,netbanking,card_expired,0.2383,0
3156412,0,13,3,333,0,0,0,0,wallet,card_expired,0.315,0
2942355,5,13,1,175,4,2,7,4,upi,insufficient_funds,0.4078,1
4510732,2,3,1,332,1,1,16,1,card,user_abandoned,0.515,0
274959,1,14,2,325,3,2,12,4,card,user_abandoned,0.5117,1
1440767,1,2,1,357,2,2,13,5,wallet,temporary_gateway_issue,0.6883,0
4754536,1,4,0,159,3,1,4,2,upi,insufficient_funds,0.355,1
4456805,3,0,1,348,1,1,23,1,card,user_abandoned,0.305,0
2305500,1,2,1,348,1,0,21,6,upi,insufficient_funds,0.5383,0
3119656,4,14,2,286,0,0,22,0,upi,user_abandoned,0.5572,1
1423036,0,7,1,18,4,1,23,0,upi,timeout,0.905,1
981199,3,3,3,44,4,4,5,5,card,insufficient_funds,0.05,0
2345307,5,1,2,155,3,3,21,6,netbanking,gateway_error,0.5433,0
1799093,1,9,1,355,2,0,5,4,upi,temporary_gateway_issue,0.67,0
2939097,0,3,0,231,2,1,20,1,card,insufficient_funds,0.675,1
434786,2,2,0,316,0,0,7,5,card,insufficient_funds,0.35,1
4873254,1,1,2,225,1,0,12,1,upi,timeout,0.61,0
4931743,0,16,2,217,0,0,17,4,wallet,card_expired,0.435,1
3505900,4,19,1,56,4,4,22,6,upi,timeout,0.8441,1
2703677,2,12,3,31,1,0,3,4,upi,user_abandoned,0.265,0
1582161,4,4,1,357,0,0,16,3,upi,temporary_gateway_issue,0.73,0
4078285,5,8,0,59,3,0,4,3,netbanking,timeout,0.5904,0
3439419,0,5,3,353,4,1,2,4,unknown,gateway_error,0.365,1
854953,4,4,3,235,2,0,3,2,upi,insufficient_funds,0.05,0
4559089,5,9,3,107,0,0,22,5,upi,temporary_gateway_issue,0.54,1
4121559,0,7,1,191,4,2,4,3,upi,temporary_gateway_issue,0.705,1
4751509,0,6,0,18,4,1,13,4,card,temporary_gateway_issue,0.925,1
3642311,4,6,2,226,2,0,14,1,card,gateway_error,0.545,0
3086405,0,5,1,167,2,1,19,5,wallet,insufficient_funds,0.555,1
2120303,1,19,2,71,2,0,16,6,netbanking,unknown,0.4175,0
4667005,0,2,3,362,0,0,5,3,netbanking,temporary_gateway_issue,0.365,1
4337016,3,18,3,54,2,2,9,6,card,card_expired,0.265,1
273832,5,14,1,245,3,0,21,2,upi,insufficient_funds,0.5629,1
180516,0,3,0,350,4,1,22,5,card,temporary_gateway_issue,0.925,1
1913493,3,11,3,76,2,1,15,5,upi,gateway_error,0.59,0
4062238,0,5,2,35,4,4,16,0,upi,gateway_error,0.785,1
4937016,0,18,2,267,1,0,13,1,upi,card_expired,0.535,1
794563,4,3,1,317,1,0,19,2,card,temporary_gateway_issue,0.755,1
2990947,1,14,2,300,2,2,11,2,card,gateway_error,0.6617,1
1935409,5,8,0,121,4,3,8,6,card,temporary_gateway_issue,0.7904,1
4851076,1,4,3,324,1,1,14,2,upi,insufficient_funds,0.195,0
4218488,2,12,2,25,2,2,11,1,card,card_expired,0.385,0
4199727,4,17,2,160,4,3,13,2,upi,temporary_gateway_issue,0.7183,1
2370031,4,4,3,84,2,2,21,0,card,insufficient_funds,0.14,0
2103356,1,15,1,114,4,1,17,3,upi,insufficient_funds,0.4831,1
1403365,4,18,2,223,1,1,19,1,netbanking,gateway_error,0.7714,1
329058,1,13,1,166,2,1,5,2,netbanking,temporary_gateway_issue,0.58,0
4330375,4,15,1,191,1,0,3,4,card,insufficient_funds,0.1313,0
4073859,0,14,2,175,2,1,22,3,card,insufficient_funds,0.285,0
4998602,1,3,0,1,0,0,11,6,card,card_expired,0.5875,0
4983352,1,6,1,229,1,0,12,5,upi,timeout,0.855,1
2799386,3,15,2,86,1,0,18,1,card,temporary_gateway_issue,0.7767,1
3856487,4,7,1,62,3,2,21,4,upi,temporary_gateway_issue,0.9277,0
4726590,4,16,3,320,1,0,12,5,upi,insufficient_funds,0.195,0
4255754,1,15,0,206,4,2,11,4,upi,card_expired,0.7531,1
1274373,0,9,0,105,2,2,19,2,wallet,gateway_error,0.95,1
2280193,0,9,3,318,0,0,2,1,upi,checkout_abandoned,0.315,0
689339,5,1,3,291,4,1,2,6,upi,insufficient_funds,0.05,0
4772552,0,8,1,250,4,1,13,2,wallet,temporary_gateway_issue,0.805,1
3050564,4,16,3,13,4,2,17,5,netbanking,timeout,0.495,0
1181781,3,10,0,163,4,4,18,6,upi,gateway_error,0.95,1
3374918,1,9,3,43,0,0,9,0,wallet,insufficient_funds,0.13,0
3109734,2,16,2,111,3,3,16,4,upi,insufficient_funds,0.3461,1
1822905,3,3,2,205,1,1,14,0,card,gateway_error,0.51,1
612110,2,15,1,256,4,3,18,5,card,user_abandoned,0.7638,1
3374287,3,19,0,307,1,0,8,2,card,card_expired,0.6273,1
2625523,0,14,2,144,1,0,3,6,card,gateway_error,0.485,1
3872976,4,4,3,146,4,3,14,6,upi,temporary_gateway_issue,0.49,1
2624809,2,5,2,301,3,0,18,6,upi,gateway_error,0.835,1
4268298,3,16,2,164,1,0,15,3,card,user_abandoned,0.4797,0
2781938,4,0,1,169,2,0,7,4,upi,temporary_gateway_issue,0.555,1
2826642,2,18,3,298,1,0,16,3,wallet,insufficient_funds,0.13,0
4389435,1,3,3,233,4,1,20,1,upi,temporary_gateway_issue,0.7275,1
2047240,3,16,3,271,0,0,0,4,upi,temporary_gateway_issue,0.6097,1
713375,1,8,1,60,1,1,6,0,card,card_expired,0.5161,0
192474,0,1,3,296,3,2,20,3,upi,card_expired,0.565,1
3787929,1,7,3,235,2,0,17,5,upi,insufficient_funds,0.2212,0
3120532,1,14,2,165,2,2,11,1,upi,timeout,0.7617,1
3535194,5,6,2,194,0,0,15,4,wallet,insufficient_funds,0.1259,0
1104172,3,5,3,234,0,0,0,6,upi,gateway_error,0.5337,1
725038,0,0,0,183,1,1,14,5,upi,gateway_error,0.85,1
121996,1,14,0,333,4,1,6,1,upi,temporary_gateway_issue,0.95,1
1785408,4,6,3,232,3,0,16,0,upi,card_expired,0.275,1
2970092,2,16,0,361,2,1,2,6,upi,checkout_abandoned,0.6361,1
1991608,1,1,1,107,0,0,10,5,netbanking,gateway_error,0.63,1
2215500,0,8,2,223,3,1,5,4,wallet,temporary_gateway_issue,0.485,0
4525585,1,8,1,80,4,2,5,1,upi,gateway_error,0.6661,1
1773864,2,12,2,234,2,2,14,2,card,user_abandoned,0.485,0
2594247,0,5,0,184,2,0,6,4,wallet,user_abandoned,0.775,1
3929082,3,5,0,185,4,0,10,4,upi,gateway_error,0.8937,1
2012886,0,19,3,134,2,1,16,6,upi,card_expired,0.415,1
3129329,3,19,0,220,4,3,22,4,wallet,card_expired,0.6273,1
4318700,0,2,0,288,2,1,17,6,card,gateway_error,0.925,1
4750127,2,16,3,364,1,1,21,4,upi,insufficient_funds,0.3761,0
778013,2,16,3,202,4,4,23,2,upi,timeout,0.6261,0
4636608,0,11,2,146,3,1,20,5,upi,gateway_error,0.935,1
2485975,1,15,0,324,1,0,18,5,upi,insufficient_funds,0.7531,1
1328309,2,14,2,127,3,3,7,5,netbanking,gateway_error,0.6412,1
2322721,3,12,2,135,2,2,23,0,card,insufficient_funds,0.215,0
4901161,3,0,1,114,3,1,19,2,card,user_abandoned,0.455,0
2488459,4,16,0,264,1,1,7,2,upi,insufficient_funds,0.555,1
1677320,5,2,0,64,4,3,20,1,upi,gateway_error,0.925,1
3185334,5,14,1,135,0,0,10,3,upi,gateway_error,0.8129,1
1238720,5,3,2,41,3,3,20,5,netbanking,timeout,0.6163,1
425523,3,3,0,296,0,0,2,3,card,temporary_gateway_issue,0.55,1
687954,4,17,2,3,3,1,22,1,upi,insufficient_funds,0.3183,0
683826,5,16,1,194,3,2,13,2,upi,gateway_error,0.8217,1
801918,5,18,3,110,4,3,8,1,netbanking,card_expired,0.2389,0
737194,0,10,2,221,2,2,0,4,card,user_abandoned,0.535,0
3222329,0,19,0,4,1,1,0,1,upi,user_abandoned,0.875,1
950306,0,2,3,244,1,0,11,1,upi,temporary_gateway_issue,0.665,1
1761053,1,7,2,166,1,1,10,6,upi,timeout,0.7412,1
4489102,5,13,2,26,2,2,20,4,netbanking,temporary_gateway_issue,0.7378,1
2396110,1,0,3,17,0,0,0,6,card,card_expired,0.05,0
3354410,4,13,3,216,1,1,19,3,card,gateway_error,0.6326,1
902983,3,1,3,92,0,0,11,4,netbanking,card_expired,0.0525,0
1001830,5,3,0,31,2,1,16,0,unknown,insufficient_funds,0.3063,0
252299,3,18,0,205,2,2,14,1,upi,user_abandoned,0.825,0
886228,0,5,2,207,4,3,1,1,upi,card_expired,0.335,0
1429022,5,0,2,107,1,0,17,6,upi,temporary_gateway_issue,0.435,0
926201,2,16,1,146,4,3,15,3,upi,checkout_abandoned,0.7161,1
489077,1,7,0,101,1,1,3,6,netbanking,temporary_gateway_issue,0.6812,0
647147,1,18,2,318,2,0,7,2,netbanking,unknown,0.4166,1
2330854,5,0,3,241,2,0,1,4,card,card_expired,0.05,0
1071351,0,4,3,247,3,2,13,2,upi,unknown,0.415,0
1853135,1,15,0,163,3,3,14,0,upi,gateway_error,0.95,1
2541915,0,5,3,173,2,1,8,4,upi,temporary_gateway_issue,0.665,0
3467454,4,7,1,35,2,1,1,0,netbanking,card_expired,0.2277,0
244595,3,12,2,284,0,0,16,0,upi,checkout_abandoned,0.565,0
4007081,2,15,2,359,0,0,9,0,upi,gateway_error,0.7438,1
3158106,3,2,2,358,4,0,8,5,upi,gateway_error,0.575,0
454707,3,18,0,21,3,2,1,4,unknown,temporary_gateway_issue,0.675,0
4374214,4,11,3,308,3,3,23,4,card,user_abandoned,0.3217,0
4608318,1,15,1,163,2,2,18,5,wallet,card_expired,0.6831,0
352335,2,10,0,97,2,2,16,3,netbanking,temporary_gateway_issue,0.8667,1
1420544,1,9,2,307,4,0,10,5,card,gateway_error,0.65,1
4040696,5,19,1,339,3,0,16,1,upi,insufficient_funds,0.4321,0
3753885,3,3,2,55,0,0,9,2,upi,gateway_error,0.61,1
963379,5,11,2,333,1,1,17,2,card,card_expired,0.3256,0
1086279,0,1,0,127,4,0,22,0,netbanking,insufficient_funds,0.525,1
1883836,3,18,2,193,1,0,5,4,upi,timeout,0.535,1
2448388,1,4,1,243,0,0,15,4,upi,user_abandoned,0.685,1
3110361,3,7,2,349,0,0,17,0,card,insufficient_funds,0.18,0
1876122,0,6,3,88,1,0,19,1,upi,temporary_gateway_issue,0.815,1
2339546,4,13,2,336,4,1,17,2,card,card_expired,0.3526,1
3749981,5,2,0,215,1,0,0,5,upi,temporary_gateway_issue,0.775,1
231581,5,17,1,92,4,4,2,3,upi,user_abandoned,0.4755,0
1299562,1,15,0,303,4,3,14,6,upi,gateway_error,0.95,1
3581080,3,18,3,235,2,2,19,1,card,user_abandoned,0.515,1
4481273,1,18,2,184,3,0,9,4,card,gateway_error,0.6666,1
2582803,4,17,0,38,3,0,20,6,upi,gateway_error,0.95,1
2683961,3,19,0,139,0,0,4,0,netbanking,temporary_gateway_issue,0.6773,1
580501,3,15,0,195,2,0,14,2,upi,unknown,0.7167,0
2264691,1,7,0,15,3,2,22,6,upi,unknown,0.7312,1
2686455,1,0,3,257,4,4,13,0,card,gateway_error,0.215,0
1250228,0,16,3,135,4,1,14,4,upi,gateway_error,0.665,1
1382753,4,11,2,1,1,0,9,0,card,temporary_gateway_issue,0.5917,0
1917556,0,10,2,49,1,1,23,5,wallet,temporary_gateway_issue,0.685,1
149352,5,4,1,96,4,3,8,6,card,card_expired,0.3606,0
1644291,3,11,3,201,4,2,11,6,card,insufficient_funds,0.09,0
1096667,1,16,0,26,1,0,6,2,card,card_expired,0.6544,1
1671111,3,5,0,343,3,1,4,0,upi,card_expired,0.4437,0
642822,3,0,1,235,0,0,23,2,upi,insufficient_funds,0.155,1
4458110,2,4,0,349,1,0,9,6,upi,user_abandoned,0.7583,1
2988282,5,13,1,244,3,0,7,0,wallet,gateway_error,0.7078,1
3411556,2,4,2,358,3,3,21,0,upi,gateway_error,0.8183,1
3956397,3,0,3,327,3,2,19,2,upi,card_expired,0.215,1
2517288,1,17,1,351,2,2,15,5,wallet,gateway_error,0.7856,1
480255,3,15,0,51,2,2,11,0,netbanking,gateway_error,0.8667,1
2708677,5,8,1,81,3,0,8,5,wallet,checkout_abandoned,0.5204,1
2954863,2,18,2,36,4,1,9,1,card,timeout,0.65,1
3739925,1,4,0,67,2,2,15,3,upi,insufficient_funds,0.555,0
2186714,3,1,2,129,1,0,9,1,netbanking,card_expired,0.1725,0
681522,4,14,2,155,2,0,8,3,upi,temporary_gateway_issue,0.7072,0
1454690,5,6,1,245,4,2,2,1,upi,unknown,0.2959,0
1847257,5,3,2,111,0,0,18,3,card,gateway_error,0.6163,1
3247290,4,0,0,168,2,2,10,0,card,timeout,0.575,1
2875352,3,12,2,142,3,3,5,2,netbanking,card_expired,0.165,0
1812678,5,19,2,356,3,2,5,2,wallet,insufficient_funds,0.05,0
4933250,1,6,1,197,3,1,14,4,netbanking,card_expired,0.505,0
3048585,3,14,2,109,0,0,14,3,upi,checkout_abandoned,0.5732,0
1224272,3,13,3,79,4,2,12,4,card,card_expired,0.2494,0
553823,2,18,1,161,1,1,21,5,netbanking,temporary_gateway_issue,0.92,1
806652,5,19,1,19,4,0,4,5,unknown,insufficient_funds,0.1321,0
1267490,5,17,0,127,0,0,13,4,upi,checkout_abandoned,0.7955,1
845372,4,9,0,205,3,0,20,3,upi,insufficient_funds,0.6673,1
973506,2,8,0,29,4,1,1,2,netbanking,timeout,0.655,1
1461221,2,7,0,207,1,1,22,3,upi,insufficient_funds,0.5472,1
908199,5,9,3,280,3,3,11,5,card,gateway_error,0.44,0
4488988,3,16,1,151,1,1,19,0,upi,gateway_error,0.95,1
447157,2,1,2,240,2,1,13,4,upi,unknown,0.3017,0
2646331,4,5,0,266,1,0,18,4,card,timeout,0.9194,1
2081464,2,4,0,182,3,3,23,5,upi,gateway_error,0.9083,1
4912774,4,8,0,105,2,1,19,3,card,user_abandoned,0.8083,1
604592,2,4,2,236,3,1,14,4,upi,insufficient_funds,0.2683,0
2019385,4,17,0,173,3,1,19,2,upi,card_expired,0.8583,1
4848878,2,19,2,158,2,2,23,4,upi,gateway_error,0.7517,1
4334260,2,8,1,172,1,0,16,3,card,checkout_abandoned,0.585,0
4094506,1,16,1,311,0,0,13,5,upi,insufficient_funds,0.4844,1
1326618,4,16,1,157,0,0,22,2,card,card_expired,0.485,0
895893,4,11,3,258,0,0,17,2,card,gateway_error,0.4717,0
3359783,4,6,2,164,0,0,21,4,card,temporary_gateway_issue,0.695,1
4650411,0,2,0,147,4,4,23,3,card,temporary_gateway_issue,0.925,1
2805976,2,9,0,154,0,0,4,4,upi,checkout_abandoned,0.6114,1
2879482,4,1,0,38,2,2,21,6,upi,gateway_error,0.895,1
1435896,5,2,0,131,0,0,11,0,card,card_expired,0.425,0
3858990,0,15,3,358,3,1,9,5,upi,gateway_error,0.665,1
975866,1,1,0,255,0,0,7,6,netbanking,gateway_error,0.75,1
1652212,4,9,3,208,1,0,5,0,netbanking,temporary_gateway_issue,0.2573,0
2155910,4,5,2,95,2,2,14,2,upi,card_expired,0.3794,0
2562671,0,10,1,348,2,1,11,4,card,card_expired,0.555,1
1249928,2,6,0,327,4,4,5,0,wallet,unknown,0.3875,1
618442,5,14,1,171,3,3,11,1,upi,checkout_abandoned,0.6629,1
3072569,1,5,2,250,2,2,14,0,card,gateway_error,0.6267,1
1478721,4,19,2,190,1,1,11,4,upi,user_abandoned,0.5741,1
2927129,2,8,0,199,0,0,8,4,card,insufficient_funds,0.455,0
814095,5,19,2,221,2,0,18,5,netbanking,user_abandoned,0.6121,1
2431643,5,11,1,24,1,0,20,0,card,gateway_error,0.8456,1
2686317,1,18,0,244,0,0,1,4,card,user_abandoned,0.5566,0
306526,3,19,3,324,4,4,12,4,wallet,gateway_error,0.5173,1
1716191,5,2,0,128,2,1,12,6,card,temporary_gateway_issue,0.675,1
715352,3,14,1,93,2,2,7,5,card,gateway_error,0.7432,1
363706,5,1,0,300,1,0,12,6,card,gateway_error,0.6333,0
4950303,1,1,0,133,3,0,3,5,card,insufficient_funds,0.15,0
1645651,0,2,1,55,4,3,5,5,netbanking,user_abandoned,0.455,0
4058878,1,5,0,158,3,3,5,6,wallet,card_expired,0.4167,1
1310471,1,14,0,29,2,2,20,5,netbanking,gateway_error,0.95,1
3423438,0,9,1,211,3,1,11,1,card,gateway_error,0.805,1
3813127,0,8,2,154,0,0,11,2,upi,temporary_gateway_issue,0.785,1
2998411,2,0,1,293,4,1,16,4,netbanking,user_abandoned,0.305,0
2384302,5,15,0,222,3,0,6,3,card,gateway_error,0.8375,1
2088612,2,5,3,115,0,0,14,5,netbanking,insufficient_funds,0.065,0
1776897,0,8,3,158,1,1,23,2,upi,gateway_error,0.665,1
4651169,3,3,1,259,3,2,16,5,wallet,insufficient_funds,0.23,0
4161566,3,1,3,251,4,4,9,2,upi,gateway_error,0.4025,1
4826883,1,3,0,122,0,0,22,3,upi,gateway_error,0.9375,1
665271,4,0,0,299,3,3,19,0,card,gateway_error,0.725,1
3667794,1,18,1,263,1,0,5,1,card,temporary_gateway_issue,0.5866,1
4694785,1,9,0,49,3,3,8,4,upi,temporary_gateway_issue,0.95,1
947103,4,14,2,329,0,0,14,0,card,timeout,0.6072,1
379156,5,18,0,297,3,0,15,6,upi,gateway_error,0.9489,1
3718547,0,15,1,362,4,2,20,3,upi,gateway_error,0.95,1
2893641,3,3,2,77,2,2,7,1,upi,gateway_error,0.61,1
4217052,1,1,2,127,0,0,15,1,netbanking,user_abandoned,0.36,1
741873,4,12,3,197,0,0,4,1,upi,timeout,0.3775,1
3986573,2,0,0,221,0,0,17,3,upi,card_expired,0.425,0
1048055,1,16,1,91,0,0,19,5,card,temporary_gateway_issue,0.9344,1
860096,3,12,3,8,3,1,13,5,upi,gateway_error,0.595,0
863115,0,3,3,32,4,2,1,6,netbanking,gateway_error,0.365,1
4082144,1,6,0,320,1,0,22,5,netbanking,insufficient_funds,0.475,0
3342726,1,16,0,269,4,3,22,0,netbanking,insufficient_funds,0.5044,0
2639173,5,8,1,191,0,0,2,4,upi,user_abandoned,0.4204,0
1826210,4,3,3,349,3,2,13,1,card,user_abandoned,0.215,0
4392142,2,18,1,163,3,0,6,6,card,insufficient_funds,0.37,0
1992603,2,0,3,61,0,0,14,6,upi,insufficient_funds,0.05,0
4092167,0,9,3,264,3,0,16,1,upi,gateway_error,0.665,0
2223717,3,3,3,285,0,0,0,0,upi,temporary_gateway_issue,0.49,1
1915874,0,8,0,95,4,2,8,5,upi,checkout_abandoned,0.875,1
2340264,1,12,3,41,2,1,21,1,wallet,gateway_error,0.6881,0
1541820,1,13,3,149,3,2,13,1,netbanking,unknown,0.29,0
3750666,2,9,3,204,0,0,15,3,upi,insufficient_funds,0.2014,0
2538465,3,5,2,267,0,0,20,2,upi,insufficient_funds,0.4037,0
1199452,4,15,0,2,3,2,12,6,unknown,gateway_error,0.8513,1
4502894,3,5,2,178,1,1,5,0,upi,timeout,0.4537,0
1950261,1,16,0,194,0,0,21,0,netbanking,insufficient_funds,0.6544,0
2740586,4,9,1,336,3,0,0,5,upi,temporary_gateway_issue,0.7973,1
4537036,3,17,2,196,0,0,20,0,netbanking,temporary_gateway_issue,0.7825,1
3139978,3,17,1,343,1,0,3,5,card,gateway_error,0.5525,0
628645,4,2,3,249,2,1,2,3,upi,insufficient_funds,0.05,0
4702169,1,19,1,212,1,1,16,3,upi,temporary_gateway_issue,0.8875,1
3157154,3,14,1,153,4,1,1,4,card,card_expired,0.2932,1
1707782,4,14,1,158,3,0,18,5,wallet,card_expired,0.6272,1
739396,5,3,1,362,1,1,19,6,upi,temporary_gateway_issue,0.8363,0
3980424,5,8,0,139,2,0,22,3,card,timeout,0.7904,1
3119360,1,18,2,221,0,0,21,5,upi,temporary_gateway_issue,0.9166,1
2690632,4,16,0,273,3,3,7,6,netbanking,card_expired,0.605,1
4474768,5,10,0,154,1,0,14,6,netbanking,gateway_error,0.8083,1
3953556,4,8,0,249,2,1,5,0,upi,gateway_error,0.7083,1
800790,3,9,1,279,1,1,22,4,upi,gateway_error,0.8175,1
